"","status","family","pval","qval","genes","num_cells_expressed"
"Cdc45","OK","negbinomial.size",0.00128983879906644,0.0103057602037859,"Cdc45",93
"Klf6","OK","negbinomial.size",1.71726348031706e-05,0.000238360164704009,"Klf6",185
"Ngfr","OK","negbinomial.size",2.44941328907093e-12,1.01171786960691e-10,"Ngfr",80
"Igsf5","OK","negbinomial.size",2.77947772253481e-07,5.59349810299386e-06,"Igsf5",19
"Drp2","OK","negbinomial.size",0.0087578572892206,0.0482875484810283,"Drp2",38
"Gmpr","OK","negbinomial.size",0.000904495301089099,0.00760885159203705,"Gmpr",41
"Tpd52l1","OK","negbinomial.size",0.00397519272893335,0.0261442840800427,"Tpd52l1",89
"Cdh4","OK","negbinomial.size",1.3904392914979e-12,5.92774065093231e-11,"Cdh4",25
"Egfl6","OK","negbinomial.size",0.00846181052079472,0.047002620840729,"Egfl6",30
"Cttnbp2","OK","negbinomial.size",5.12055438468259e-05,0.000635385215072308,"Cttnbp2",72
"Acvrl1","OK","negbinomial.size",1.89111831027082e-05,0.000259176570260651,"Acvrl1",19
"Sox9","OK","negbinomial.size",2.05004783673385e-06,3.51096427935323e-05,"Sox9",106
"Gm2a","OK","negbinomial.size",1.16369140333578e-20,1.11127874252954e-18,"Gm2a",246
"Hk2","OK","negbinomial.size",0.000370577434914746,0.00365887745291756,"Hk2",172
"Kat2b","OK","negbinomial.size",0.00214268304312756,0.0158274798798352,"Kat2b",38
"Sult5a1","OK","negbinomial.size",0.00110747978739172,0.0090921500839718,"Sult5a1",55
"Rpa1","OK","negbinomial.size",0.00179131415162008,0.0136457670886337,"Rpa1",159
"Serpinf1","OK","negbinomial.size",4.50467404941842e-11,1.59561703643643e-09,"Serpinf1",168
"Tubgcp3","OK","negbinomial.size",0.00178627805743509,0.0136160927021728,"Tubgcp3",84
"Car4","OK","negbinomial.size",1.83466749036014e-23,2.23473732983969e-21,"Car4",19
"Mmp11","OK","negbinomial.size",1.4894958289564e-14,7.73048335228372e-13,"Mmp11",145
"Top1mt","OK","negbinomial.size",0.00297577997979266,0.0206809476551784,"Top1mt",16
"Kctd10","OK","negbinomial.size",0.00386727211357116,0.0255471096954615,"Kctd10",103
"Col6a1","OK","negbinomial.size",3.54123003546818e-46,1.56561714568088e-43,"Col6a1",130
"Lgals9","OK","negbinomial.size",2.72549440652338e-16,1.74855055070534e-14,"Lgals9",22
"Calm1","OK","negbinomial.size",0.00658526595922423,0.0389342841779394,"Calm1",284
"Hpn","OK","negbinomial.size",0.000499297204758641,0.00467826588163572,"Hpn",14
"Efnb2","OK","negbinomial.size",1.86627359166346e-18,1.40111370211866e-16,"Efnb2",124
"Rnd2","OK","negbinomial.size",0.00254295821474101,0.0181333884165851,"Rnd2",18
"Fndc5","OK","negbinomial.size",0.0024123220072598,0.0173993279762297,"Fndc5",39
"Ube2c","OK","negbinomial.size",3.99667413452663e-06,6.45579149443091e-05,"Ube2c",111
"Cct3","OK","negbinomial.size",2.95626338408108e-06,4.90744355437643e-05,"Cct3",237
"Col18a1","OK","negbinomial.size",3.76120828558737e-25,5.40934256687427e-23,"Col18a1",123
"Slc19a1","OK","negbinomial.size",0.0072788910984115,0.0421173645379244,"Slc19a1",43
"Kpnb1","OK","negbinomial.size",0.00066038928367154,0.00589167928190372,"Kpnb1",233
"Tubb6","OK","negbinomial.size",6.14024807343001e-07,1.15974907045149e-05,"Tubb6",132
"Def8","OK","negbinomial.size",0.00197320654631626,0.0147767669657322,"Def8",47
"Meox1","OK","negbinomial.size",0.0012929639434739,0.0103238197948147,"Meox1",21
"Col1a1","OK","negbinomial.size",3.54145756850716e-39,1.00653283322071e-36,"Col1a1",263
"Itga3","OK","negbinomial.size",5.53408302694944e-06,8.65797497938341e-05,"Itga3",54
"Foxm1","OK","negbinomial.size",0.00908077636748554,0.0497691586311639,"Foxm1",93
"Gtf2h4","OK","negbinomial.size",0.00530685989957629,0.0328057931751643,"Gtf2h4",53
"Tubb5","OK","negbinomial.size",0.00586998259862097,0.035586583179146,"Tubb5",294
"Jup","OK","negbinomial.size",0.000960805329823189,0.00801476814961524,"Jup",168
"Gstt1","OK","negbinomial.size",3.61302758338823e-13,1.65244100624158e-11,"Gstt1",41
"Gstt3","OK","negbinomial.size",4.73860963817729e-06,7.56213679825164e-05,"Gstt3",16
"Ubl3","OK","negbinomial.size",0.000132681225122292,0.00149755901314979,"Ubl3",199
"Cldn15","OK","negbinomial.size",0.00555278554788402,0.034026489263394,"Cldn15",12
"Crnkl1","OK","negbinomial.size",0.00124995114636807,0.0100340731904477,"Crnkl1",115
"Clpb","OK","negbinomial.size",3.06159434275731e-07,6.06073825364744e-06,"Clpb",68
"Aif1l","OK","negbinomial.size",1.37417481535517e-25,2.07639554061958e-23,"Aif1l",111
"Ltbp1","OK","negbinomial.size",2.22068421152895e-10,7.12588909489814e-09,"Ltbp1",202
"Nfix","OK","negbinomial.size",1.40361668953402e-06,2.46759534947976e-05,"Nfix",118
"Gria3","OK","negbinomial.size",0.0024710782679213,0.0177373790043154,"Gria3",117
"Sipa1l2","OK","negbinomial.size",3.965702339817e-05,0.00050467578710443,"Sipa1l2",60
"Pnck","OK","negbinomial.size",2.67306274437066e-12,1.1002879303294e-10,"Pnck",14
"Spag5","OK","negbinomial.size",0.000307036862038914,0.00310076059404274,"Spag5",78
"Ccne1","OK","negbinomial.size",5.0150293650126e-07,9.57830488482487e-06,"Ccne1",65
"Psmc3","OK","negbinomial.size",0.00264484252942503,0.0187479128703958,"Psmc3",239
"Slc39a13","OK","negbinomial.size",0.00845002433474191,0.0469590039496342,"Slc39a13",59
"Celf2","OK","negbinomial.size",4.43605100909842e-11,1.5759863361788e-09,"Celf2",123
"Sf3a1","OK","negbinomial.size",0.00104404318592786,0.00861281514196326,"Sf3a1",186
"Paxip1","OK","negbinomial.size",5.67699164166614e-09,1.5194226283984e-07,"Paxip1",131
"Mov10","OK","negbinomial.size",0.00571556356560274,0.0348273008078611,"Mov10",114
"Peg3","OK","negbinomial.size",1.02281733522386e-12,4.48873916564972e-11,"Peg3",277
"Zim1","OK","negbinomial.size",0.0034770263183048,0.0233700806090115,"Zim1",85
