"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"847","C2","C2","GO:0051222","positive regulation of protein transport","41/1017","423/23239",1.82442600008315e-06,6.35713843407353e-05,4.45985217801266e-05,"11352/11606/11609/383619/11735/81799/12297/54725/12361/102657/12490/12534/230073/192193/13649/192176/14360/14634/15275/15559/16000/16180/77125/16847/16859/16971/18640/50706/19056/19122/19376/19662/89867/20742/207227/21808/21809/54445/215280/22418/22433",41
"851","C2","C2","GO:0099643","signal release from synapse","24/1017","186/23239",2.1632082419745e-06,7.33925322622533e-05,5.14885507456119e-05,"11549/23821/109880/12298/12361/111173/238988/26431/108030/244049/17260/14299/192167/18189/18191/18212/67847/20698/207227/71709/27204/20979/208898/22433",24
"867","C2","C2","GO:0006836","neurotransmitter transport","32/1017","300/23239",3.3736696622863e-06,0.000103559609811967,7.26522721132708e-05,"11549/98660/23821/109880/12298/12361/13617/111173/238988/26431/14758/108030/244049/17260/14299/192167/18189/18191/18212/18627/74136/20512/63959/100434/67847/20698/207227/71709/27204/20979/208898/22433",32
"892","C2","C2","GO:1905809","negative regulation of synapse organization","8/1017","24/23239",5.14452767866597e-06,0.000137462845797308,9.64370964361872e-05,"103967/14360/192167/245537/19122/19211/19242/22418",8
"912","C2","C2","GO:1905048","regulation of metallopeptidase activity","6/1017","13/23239",9.11415807882338e-06,0.000220028609338381,0.00015436113005236,"69538/233489/53614/20848/21858/21859",6
"913","C2","C2","GO:0006260","DNA replication","27/1017","243/23239",9.13052596440055e-06,0.000220028609338381,0.00015436113005236,"108686/12545/12534/13649/71988/107373/104806/78833/14632/14633/66634/210711/18027/18028/18029/18032/18538/18968/18969/27015/19075/19290/245688/19714/19891/20843/72960",27
"914","C2","C2","GO:1905207","regulation of cardiocyte differentiation","12/1017","60/23239",9.27053060272063e-06,0.000222363378224327,0.00015599908779217,"12818/13649/14369/16000/17260/214384/14815/211323/106042/21808/106628/22402",12
"916","C2","C2","GO:0070208","protein heterotrimerization","7/1017","19/23239",9.55048435693134e-06,0.00022696704068523,0.000159228788429653,"56745/69183/12842/12843/12833/12834/68553",7
"950","C2","C2","GO:0198738","cell-cell signaling by wnt","38/1017","420/23239",2.07800007216361e-05,0.000426942086539751,0.000299521335627022,"11352/72345/75723/12316/83675/26992/12842/242939/50781/13607/13649/13653/56484/20378/14369/14632/14634/16202/16469/16971/19882/29811/72293/106042/19211/207181/53614/26564/20187/20356/20377/20583/66042/72043/21833/22402/22418/24136",38
"970","C2","C2","GO:0071248","cellular response to metal ion","19/1017","149/23239",2.85431956796659e-05,0.000542081980199483,0.000380297758987911,"11513/11735/109880/70568/12912/13649/14268/14281/14282/233908/227753/16477/17260/107589/192167/18189/19122/19395/20979",19
"1012","C2","C2","GO:0099084","postsynaptic specialization organization","9/1017","41/23239",5.61761243264817e-05,0.000921894107942961,0.000646755059347021,"54725/16180/192167/245537/18189/18213/94190/19211/19280",9
"1057","C2","C2","GO:1905475","regulation of protein localization to membrane","20/1017","175/23239",8.61300742537479e-05,0.00123510953725429,0.000866491428011594,"11735/11835/12297/66455/13649/13837/14360/227753/16412/16971/17387/72293/18189/233489/98496/226849/19122/19242/20742/69660",20
"1067","C2","C2","GO:0110110","positive regulation of animal organ morphogenesis","14/1017","98/23239",9.16088726986437e-05,0.00128376890355137,0.000900628419522994,"11477/11606/11609/11835/14595/12490/13617/13805/18053/18595/19242/21808/21813/22433",14
"1092","C2","C2","GO:0050919","negative chemotaxis","8/1017","36/23239",0.000132651326172724,0.00173625098749426,0.00121806734719651,"16416/211323/18187/20187/108151/20563/20564/22418",8
"1103","C2","C2","GO:1905879","regulation of oogenesis","5/1017","13/23239",0.000152417325627734,0.00194558452540154,0.00136492534701021,"50915/16000/230103/54611/242202",5
