"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"11","C1","C1","GO:0098813","nuclear chromosome segregation","59/1240","256/23239",5.13192626946734e-22,2.47732077189742e-19,1.78561568572088e-19,"11789/20877/56208/11799/237911/12235/12237/268697/12447/107995/52563/23834/67849/52276/12617/229841/108000/12704/12387/66934/13605/268465/105988/211651/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/105837/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/30939/26934/19384/108911/24061/13006/70099/70385/20460/21335/21973/21974/74335",59
"12","C1","C1","GO:0090068","positive regulation of cell cycle process","56/1240","241/23239",3.83356557894196e-21,1.69635276868182e-18,1.22270565307307e-18,"11504/11792/20877/56208/11799/12189/12323/268697/12443/12530/12544/23834/67849/12567/229841/12704/27214/13205/76843/226419/52679/108961/13605/13614/14056/67141/14156/14165/14182/209334/15902/16002/381293/240641/71819/16569/17295/105837/18432/67052/18148/68501/18226/108907/57913/53317/70235/26934/19385/108911/19684/239336/50850/68612/74335/22642",56
"13","C1","C1","GO:0044772","mitotic cell cycle phase transition","67/1240","344/23239",1.55393638899775e-20,6.3472324812139e-18,4.57499004890351e-18,"11504/11789/11792/59046/20877/11799/12189/12235/12237/78832/12323/268697/12443/12447/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/27214/233805/13194/13205/76843/13559/52679/14056/67141/14165/14235/209334/15902/77035/381293/67121/105837/50927/67052/59126/68501/57913/18767/53317/18973/19192/15170/108911/19684/69581/27401/50850/70385/20460/21335/77011/235559/636931/68612/74335",67
"14","C1","C1","GO:0044770","cell cycle phase transition","70/1240","381/23239",6.38786821772703e-20,2.42282715972361e-17,1.74633750674101e-17,"11504/11789/11792/59046/20877/11799/12189/12235/12237/78832/12323/268697/12443/12447/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/27214/233805/13194/13205/76843/226419/13559/52679/14056/67141/14165/14235/209334/15902/77035/381293/67121/105837/50927/67052/59126/18148/68501/55982/57913/18767/53317/18973/19192/15170/108911/19684/69581/27401/50850/70385/20460/21335/77011/235559/636931/68612/74335",70
"15","C1","C1","GO:0051052","regulation of DNA metabolic process","72/1240","428/23239",3.08355194942473e-18,1.09157739009636e-15,7.867926237269e-16,"11783/20877/12189/12301/12461/12462/12465/12466/12468/12469/12649/12387/102871/27214/70640/53817/110052/72162/245474/13433/13435/19252/52679/108961/50912/14048/67141/14165/14182/60344/60530/14235/57441/15234/219150/15289/53379/11991/15519/15516/15903/16009/67444/17295/72199/18148/98415/26430/11545/75317/55982/208084/19017/27374/19353/58186/19361/19718/106344/54380/24061/13006/64074/66592/20937/21454/21781/77011/74493/21974/21849/27223",72
"16","C1","C1","GO:0007088","regulation of mitotic nuclear division","44/1240","176/23239",3.42369793887745e-18,1.13623975346495e-15,8.18984585905159e-16,"11789/20877/56208/11799/12159/77744/12235/12237/268697/12443/12447/12449/12453/240665/52563/23834/67849/229841/12649/12704/13614/67141/14184/209334/16002/16551/240641/17295/17345/105837/67052/59126/68501/18226/108907/30939/19385/24061/13006/70385/20460/21335/68612/74335",44
"17","C1","C1","GO:0006261","DNA-dependent DNA replication","38/1240","135/23239",8.78711347997101e-18,2.74468073992036e-15,1.97832474384982e-15,"12447/12544/23834/52679/108961/268465/67141/14156/14182/209334/69270/67444/16881/70024/17216/17215/17217/17218/17219/17220/71567/212377/18148/98415/56452/18971/18973/19076/19361/19718/106344/68275/54380/24061/13006/66592/77011/218973",38
"18","C1","C1","GO:0051783","regulation of nuclear division","47/1240","207/23239",1.575828119017e-17,4.64869295110016e-15,3.35070821096247e-15,"11789/20877/56208/11799/12159/77744/12235/12237/12317/12323/268697/12443/12447/12449/12453/240665/107995/52563/23834/67849/229841/12649/12704/13614/67141/14184/209334/16002/16551/240641/17295/17345/105837/67052/59126/68501/18226/108907/30939/19385/24061/13006/70385/20460/21335/68612/74335",47
"19","C1","C1","GO:0072001","renal system development","57/1240","297/23239",2.37570596583107e-17,6.63947298871735e-15,4.78563262701483e-15,"11481/11504/19378/11789/71371/12125/12159/73230/108000/74107/12387/233651/13642/17075/13838/13841/14048/14164/14165/14182/14260/17300/15229/231470/14537/14734/15213/21410/15902/15903/106633/16400/16449/269152/16776/16869/83557/14013/114249/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/76365/64930/243931/93840/13003",57
"20","C1","C1","GO:0001655","urogenital system development","61/1240","340/23239",5.27793828430339e-17,1.40129261448255e-14,1.01003071588038e-14,"11481/11504/19378/11789/71371/12125/12159/73230/108000/74107/12387/233651/13642/17075/13838/13841/13845/14048/14164/14165/14182/14228/14260/17300/15229/231470/14461/14537/14734/15201/15213/21410/15902/15903/106633/16400/16449/269152/16776/16869/83557/14013/114249/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/76365/64930/243931/93840/13003",61
"21","C1","C1","GO:0051983","regulation of chromosome segregation","32/1240","104/23239",1.9557247372849e-16,4.94518969284897e-14,3.56441861893128e-14,"11789/20877/56208/11799/12235/12237/268697/52563/23834/67849/229841/12704/12387/13605/67141/14156/209334/73804/51944/17345/105837/67052/59126/68501/30939/26934/58186/108911/70385/20460/21335/74335",32
"22","C1","C1","GO:0060562","epithelial tube morphogenesis","63/1240","375/23239",4.39773329737273e-16,1.06145290041133e-13,7.65079343026184e-14,"19378/216285/11783/93760/12159/12160/277939/207607/330409/29876/12808/12977/68588/12387/233651/13614/13642/13836/13838/13841/104156/14048/14164/14165/14260/15229/57265/14734/15111/15213/15364/21410/15402/81896/30841/75605/16542/240641/269152/16776/16869/79464/14725/17295/114249/18141/18479/18510/18654/18741/98711/19876/58198/99377/20319/20474/20666/20682/24063/20460/636931/64930/93840",63
