,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
A230050P20Rik,OK,negbinomial.size,0.0015221488050332,0.00645070992960384,A230050P20Rik,54,0.290456320365973,1.01217961318837,5.67860450353538,5.96699615459758,C4
A4galt,OK,negbinomial.size,1.2678135390079e-24,5.60408438221945e-23,A4galt,23,0.00362040962314555,1.56159367576254,21.2298994876056,14.6880986483618,C2
A830080D01Rik,OK,negbinomial.size,0.0137408057448613,0.041400515399232,A830080D01Rik,192,10.6987870006109,8.6205875591224,2.64152954768071,7.36192919844575,C1
AA474331,OK,negbinomial.size,0.0158002059176883,0.0466035424717324,AA474331,66,2.23629628880545,4.3871973645955,2.40332233381166,18.532638070587,C4
Aaas,OK,negbinomial.size,0.00356998896018495,0.0133771636139472,Aaas,208,43.195853758667,17.298307474707,30.1227665050203,31.454656626336,C1
Aacs,OK,negbinomial.size,6.49355849113155e-09,7.41141462923027e-08,Aacs,138,8.28508609458598,20.1345617597306,1.6586883918756,3.79290349610874,C3
Aagab,OK,negbinomial.size,3.73517667578474e-05,0.000239472976649953,Aagab,157,17.9117501531251,18.5221704673515,0.637541707366622,15.7563365556945,C3
Aar2,OK,negbinomial.size,0.00849806581219968,0.0277486087559785,Aar2,220,21.6711647661177,26.9923162908031,8.985150635152,20.0400827296946,C3
Aard,OK,negbinomial.size,6.27669634010002e-07,5.49232279066031e-06,Aard,55,0.291852627641694,6.11679828811314,5.7187969334605,34.3677046788802,C4
Aass,OK,negbinomial.size,7.73000057633212e-19,2.20957772029689e-17,Aass,25,1.77821995033097,8.92044109788288,0.000715131076585204,0.0325459980262453,C3
Abat,OK,negbinomial.size,3.96334762928866e-07,3.55017691890947e-06,Abat,277,10.5653967945232,21.2042458348185,8.02474101481641,2.44850998904257,C3
Abca4,OK,negbinomial.size,9.69140312989714e-05,0.000562547465974128,Abca4,38,0.160460963324556,1.19746812301898,0.00255933056908871,0.557319105295886,C3
Abca6,OK,negbinomial.size,3.61876904925628e-05,0.000232741131402918,Abca6,35,0.538387781878038,4.37843740776995,3.2103746119649,0.044181431389357,C3
Abca9,OK,negbinomial.size,6.93267832305451e-18,1.86949772053355e-16,Abca9,41,0.0465478994766883,2.4232168163638,8.67433456810621,1.91627623897237,C2
Abcb7,OK,negbinomial.size,9.93700869384186e-05,0.000575246367366732,Abcb7,123,5.74477838664503,0.959250598329107,4.73242326308549,1.5399460393852,C1
Abcc1,OK,negbinomial.size,0.000864542880799172,0.00395892313126371,Abcc1,166,1.64454823687809,3.97974822156949,1.75420120905111,7.31481883980243,C4
Abcc10,OK,negbinomial.size,0.00682620302823438,0.0230248517222815,Abcc10,53,0.407827749423464,2.29958745685899,0.321960354607248,0.158485064915694,C3
Abcc5,OK,negbinomial.size,0.00090858854866126,0.00414129297897634,Abcc5,408,5.08476459603872,11.5550057727705,7.96602852824116,5.23244108614586,C3
Abcc9,OK,negbinomial.size,6.73176863193692e-16,1.54626321272508e-14,Abcc9,26,0.0267391566719415,0.0553906398591012,6.10502736330448,0,C2
Abcd1,OK,negbinomial.size,0.000125888646453706,0.000713350510719834,Abcd1,46,0.959063183136648,7.27454673811431,2.58116035976708,0.656185176261208,C3
Abcd2,OK,negbinomial.size,8.88924602319623e-05,0.000521397043303115,Abcd2,43,1.93638193551981,1.77106535427827,7.57231602566923,14.3188286890386,C4
Abce1,OK,negbinomial.size,0.00892045222436112,0.0288736227886153,Abce1,359,51.1557667810336,41.1552531500813,34.6057486530446,17.3881686816088,C1
Abcf2,OK,negbinomial.size,5.17264317776036e-05,0.000322519191447075,Abcf2,282,77.6596576160303,39.140001168578,53.8389592004969,22.1930062600824,C1
Abcf3,OK,negbinomial.size,1.38235435135868e-05,9.58556551025695e-05,Abcf3,227,20.6704629159595,39.8125000168246,9.9644379807349,22.8177627801405,C3
Abcg1,OK,negbinomial.size,8.95011636228663e-14,1.69801396413116e-12,Abcg1,98,4.94143750651672,30.211209213544,5.28615133127829,13.0784318523064,C3
Abcg2,OK,negbinomial.size,1.22494691827214e-06,1.02715073075193e-05,Abcg2,239,32.8611650865298,11.8279988433242,19.0214514765883,11.135803417562,C1
Abhd11,OK,negbinomial.size,0.00624049034330296,0.0213772109949151,Abhd11,210,13.4116172814663,31.0518250783355,28.2064308657911,15.3629396273939,C3
Abhd14a,OK,negbinomial.size,0.0028949358233342,0.0111858094008855,Abhd14a,187,12.0055150205168,26.085624948782,28.655163626289,6.10899869204514,C2
Abhd14b,OK,negbinomial.size,2.00781815934876e-10,2.71287447307806e-09,Abhd14b,39,0.173277767501943,10.3136906734488,0.976676697878574,10.8240332525476,C4
Abhd3,OK,negbinomial.size,1.76576125716323e-06,1.45223702371423e-05,Abhd3,104,9.33307001610609,25.0813180501289,5.96834348122563,0,C3
Abhd4,OK,negbinomial.size,0.000177404851338643,0.00096719903031242,Abhd4,267,68.069655497676,70.5628803530227,31.8991433128239,124.712066574126,C4
Abhd5,OK,negbinomial.size,2.39902593593342e-05,0.000159311670696498,Abhd5,91,8.09153776156711,0.698996157530489,5.44315579555683,3.36012475878993,C1
Abhd6,OK,negbinomial.size,0.00589314940046106,0.0204102263699867,Abhd6,132,11.4527471582297,21.3847612019171,4.94286811079755,23.3826098830484,C4
Abi1,OK,negbinomial.size,0.0057730847475382,0.0201080934491156,Abi1,306,15.732662320425,16.0425442951287,37.0181911522721,18.7690644429799,C2
Abi2,OK,negbinomial.size,0.00271390654990916,0.0105752741446475,Abi2,406,26.4857211161479,35.5857634829565,34.5657575214403,12.3222671439877,C3
Abl2,OK,negbinomial.size,0.00385134350468079,0.0142437698391918,Abl2,186,6.28199611417583,2.47382625522014,6.30828803208465,4.19508816996842,C2
Ablim1,OK,negbinomial.size,7.00620610489463e-30,4.25098250600282e-28,Ablim1,210,4.11579167863991,5.70270617713687,17.1030757246956,65.2373896295271,C4
Ablim3,OK,negbinomial.size,1.72952692774057e-13,3.18723565494655e-12,Ablim3,29,0.038139123724301,3.38421129522568,0,0,C3
Abtb2,OK,negbinomial.size,0.017132201268116,0.0497564924162962,Abtb2,55,2.42871409801764,3.00716593326932,0.287348938542907,0.0911041693296141,C3
AC123072.1,OK,negbinomial.size,1.09915300077109e-21,3.91645569222119e-20,AC123072.1,288,1.85255128544411,11.4040376162842,3.3630615465278,5.37328559779548,C3
Acaa2,OK,negbinomial.size,1.59493738393724e-17,4.14458173122924e-16,Acaa2,485,220.617571494649,688.765407490458,345.750003384047,254.633255697283,C3
Acad10,OK,negbinomial.size,1.78391617938276e-05,0.000120962118162364,Acad10,34,2.47339220664218,0.769623051552081,0.0251746469650838,0.103189218005205,C1
Acad11,OK,negbinomial.size,2.55172857191718e-05,0.000168150023670957,Acad11,93,1.10959064303188,4.2811852512558,0.419792598124364,2.33447465817046,C3
Acadl,OK,negbinomial.size,0.00105800765575899,0.0047204829955005,Acadl,317,21.3314159797408,50.1623156473495,28.286847393247,41.1948579263558,C3
Acadm,OK,negbinomial.size,0.000588923022415289,0.00281610291350478,Acadm,290,19.6832108830049,34.1712406817259,9.37744784133534,19.5848194277534,C3
Acadvl,OK,negbinomial.size,9.70306789965999e-05,0.000562970511471928,Acadvl,227,17.7851997479482,42.9800914399335,23.7135023723766,51.9493444219498,C4
Acan,OK,negbinomial.size,4.65613713098694e-09,5.44086334782218e-08,Acan,23,0.016324392336692,1.54719062786755,0,0.108319017467778,C3
Acat2,OK,negbinomial.size,3.28349096411686e-05,0.000212666386059593,Acat2,356,48.6029039996762,22.1495822152018,21.4955885996913,11.7886847143925,C1
Acbd4,OK,negbinomial.size,0.00366414822054773,0.013665392450248,Acbd4,54,1.83437912790276,7.27435118041463,2.8628508820737,0.159989800346817,C3
Acbd5,OK,negbinomial.size,0.00617125323408535,0.02119648340455,Acbd5,206,8.20047907004096,12.7006475333456,2.74988325000404,9.6100731302252,C3
Ace,OK,negbinomial.size,0.000244315952199176,0.00129860995584215,Ace,14,0,0.0240363813962773,1.66216331058248,0.0250608784557259,C2
Ace2,OK,negbinomial.size,2.59180013343296e-13,4.6757819237515e-12,Ace2,31,10.773168251416,2.51964512669693,10.8343556177007,0,C2
Ackr3,OK,negbinomial.size,5.52673711944953e-05,0.00034112485397063,Ackr3,46,5.20664852771106,0.458262006978588,2.55982973912553,7.50548867262622,C4
Acly,OK,negbinomial.size,0.00024023953005328,0.00127958636649082,Acly,329,38.0370343046721,26.0044890451294,13.7032902585841,26.564572005763,C1
Acot1,OK,negbinomial.size,0.00281226061276881,0.010912249852804,Acot1,200,7.17340898020046,22.780123760636,6.57668103646472,26.546580234626,C4
Acot11,OK,negbinomial.size,3.50558617629991e-06,2.72132498405225e-05,Acot11,42,3.39618457471013,0.427042282054364,0.355507136846531,0,C1
Acot2,OK,negbinomial.size,1.0673172568068e-05,7.5641332640804e-05,Acot2,515,65.4131594364214,133.455478134602,123.364293770174,167.520804937445,C4
Acot9,OK,negbinomial.size,0.0140403801244771,0.0421473534518434,Acot9,127,9.31148793014426,12.7509662341817,31.1588896430143,10.8851041418575,C2
Acox1,OK,negbinomial.size,2.2473438741709e-05,0.00014978022929254,Acox1,245,7.82399931692856,16.2918482519654,6.42123658638988,0.53547105919343,C3
Acp5,OK,negbinomial.size,1.28438829749444e-08,1.40425106806056e-07,Acp5,44,0.445768534978486,10.798052279281,0.115822810561442,0,C3
Acsbg1,OK,negbinomial.size,5.75913655611285e-25,2.61765984174133e-23,Acsbg1,132,5.77656000340108,32.5345546723037,4.78171619866196,82.4049220346963,C4
Acsm3,OK,negbinomial.size,0.000327094943940121,0.00167760058369289,Acsm3,120,1.98868145419936,6.37387033844267,1.46469066267665,10.9562785146807,C4
Acta2,OK,negbinomial.size,9.25603552589419e-68,2.64578633265726e-65,Acta2,102,33.5342224166219,4.6386273683483,295.172348546635,2.31128684368453,C2
Actc1,OK,negbinomial.size,1.00241072862378e-09,1.27019880872089e-08,Actc1,30,9.50396808352619,3.34410783985352,0.00689523726705089,0,C1
Actl6a,OK,negbinomial.size,0.0116989115598654,0.0361738219698433,Actl6a,321,40.2927711846458,22.1736502338488,25.1859130707281,30.1794953640501,C1
Actn1,OK,negbinomial.size,0.00389644197958336,0.014385744312107,Actn1,434,24.0723033620127,17.6473237953294,32.9611179681503,6.36563606096165,C2
Actr1b,OK,negbinomial.size,0.00102891866247144,0.00461309890392826,Actr1b,251,16.4617761191676,19.7474609501375,5.62873281311483,7.94076767100308,C3
Actr3b,OK,negbinomial.size,2.31941275385793e-20,7.45865156321865e-19,Actr3b,50,1.43781837284408,1.39298884588647,59.6346135861844,0.0124045519768347,C2
Actr6,OK,negbinomial.size,7.51444421925754e-29,4.29592426632488e-27,Actr6,320,33.2643918262985,166.401409168166,13.8556588483962,24.5758156419864,C3
Acvr1,OK,negbinomial.size,0.000132321966459104,0.00074456272655786,Acvr1,97,5.08748043529826,1.47046248351698,7.29561634325486,0.114705012842796,C2
Acvr1c,OK,negbinomial.size,6.79017304705281e-07,5.91747939730625e-06,Acvr1c,29,0.250277411808088,1.06945148686093,0,0,C3
Acvr2b,OK,negbinomial.size,0.014140778948161,0.0424289338955435,Acvr2b,113,12.7083401149281,6.39183707096707,1.43381104135189,1.12249593237588,C1
Acvrl1,OK,negbinomial.size,0.0142938236173293,0.0428182238448315,Acvrl1,37,0.862569609366408,1.07192446522227,4.53431005684816,0,C2
Adam10,OK,negbinomial.size,1.96352089978976e-11,2.96789298871864e-10,Adam10,512,64.6811449119805,138.248541420731,40.2151918925534,118.11962939712,C3
Adam12,OK,negbinomial.size,4.02779473223338e-12,6.5333573317425e-11,Adam12,73,2.66535656993952,0.190401818697292,7.44533424249878,0.082467519875086,C2
Adam19,OK,negbinomial.size,1.0544459332159e-06,8.92324870983959e-06,Adam19,129,4.59715343063591,1.17139447722313,6.38794829654342,0.0825454917945649,C2
Adam22,OK,negbinomial.size,0.00123112513455546,0.00537671011718883,Adam22,62,2.14128758963976,0.681342938600585,0.522735124405709,0.0433664721729588,C1
Adam23,OK,negbinomial.size,0.000179164619786271,0.000974870771705078,Adam23,47,0.302938948302136,0.00102712026381807,0.497302558360325,0.0884983179206727,C2
Adam8,OK,negbinomial.size,1.83185670334038e-15,4.00734230868491e-14,Adam8,77,0.561369265968576,10.1998778184444,1.42905689006816,0.00846520846540668,C3
Adamts1,OK,negbinomial.size,5.06680126383631e-07,4.47011417398672e-06,Adamts1,276,34.2591135892623,18.0003937095942,31.1749398930868,3.04679312449244,C1
Adamts12,OK,negbinomial.size,1.97051190339977e-10,2.66526757239025e-09,Adamts12,73,2.76039681394662,0.153694807905701,6.74206490638872,0.0258115174600649,C2
Adamts14,OK,negbinomial.size,2.08872096341114e-06,1.70802401477162e-05,Adamts14,20,0.92656416863356,0.0632531533410106,4.77926133807937,0,C2
Adamts16,OK,negbinomial.size,2.61287219356025e-11,3.88547688159139e-10,Adamts16,108,1.29719240482782,11.614443272739,2.90573774451974,1.22282548332969,C3
Adamts17,OK,negbinomial.size,1.82702297252497e-10,2.47900806915492e-09,Adamts17,56,0.804187896893898,3.62842259151668,0.00810396132414344,0.00193849916086649,C3
Adamts18,OK,negbinomial.size,5.20108283328856e-18,1.41142465157365e-16,Adamts18,34,3.60348478280981,0.00333292383376985,0.10248090696692,0,C1
Adamts19,OK,negbinomial.size,1.07097693079466e-11,1.67184177922472e-10,Adamts19,160,3.01869752419575,14.0287803189014,26.1300321256815,15.8566458181182,C2
Adamts2,OK,negbinomial.size,3.43809550472613e-25,1.60232690135117e-23,Adamts2,123,1.14900311423675,1.43047677867328,22.1781268702011,9.43166044745287,C2
Adamts20,OK,negbinomial.size,4.94372714251401e-13,8.66364608094791e-12,Adamts20,25,0.917253682753311,0.00283102034716604,2.39242378768322,0,C2
Adamts3,OK,negbinomial.size,2.00565375458248e-06,1.64218486602129e-05,Adamts3,68,10.0198767244437,2.192683996709,6.39705946111613,3.81677101920669,C1
Adamts4,OK,negbinomial.size,1.18733512978299e-07,1.1423105291248e-06,Adamts4,34,1.40008574855917,0.0194533117730227,5.24645133057662,0.146709438884194,C2
Adamts5,OK,negbinomial.size,2.08702794574708e-05,0.000139892863294136,Adamts5,44,1.3049446611056,0.480862726319563,5.30279313433287,0.0300031979744527,C2
Adamts6,OK,negbinomial.size,0.0167388195326962,0.0488345283849108,Adamts6,65,4.46371665979148,0.978814474639695,1.68390002484924,2.00089976304444,C1
Adamts7,OK,negbinomial.size,2.84619404404629e-06,2.24467161180671e-05,Adamts7,67,1.80211837846237,1.19886939584235,8.0578208651265,0.00102565486763927,C2
Adamts8,OK,negbinomial.size,7.87100218069842e-09,8.86556051228755e-08,Adamts8,15,0.00917768127597624,1.73312336283229,2.56741270728227,0,C2
Adamtsl1,OK,negbinomial.size,3.70175034941501e-12,6.04259070361995e-11,Adamtsl1,55,1.38423897476355,0.0685136457450447,4.94114096146464,0.00140338874805751,C2
Adamtsl2,OK,negbinomial.size,2.62583905805922e-14,5.20434018548779e-13,Adamtsl2,11,0.124694364926441,0.000176924694963677,3.54398867446862,2.29687100745836,C2
Adamtsl3,OK,negbinomial.size,4.12495202242089e-15,8.72685162243419e-14,Adamtsl3,12,0.0594431280757886,3.68453764780469,0.519753014363386,0,C3
Adamtsl4,OK,negbinomial.size,0.00627953619343504,0.0214995139888621,Adamtsl4,62,3.39306105607161,0.364418426048638,1.10579029426236,0.0878210062775628,C1
Adar,OK,negbinomial.size,0.0128373138890078,0.0390924167978949,Adar,136,3.61145089918979,4.07142452935538,0.693228191807162,7.01276670383818,C4
Adarb1,OK,negbinomial.size,1.33186304577009e-06,1.11100871321276e-05,Adarb1,51,1.42832068285563,0.156200229461789,0.00347870246900346,0,C1
Adcy3,OK,negbinomial.size,0.00820402271218303,0.0270377515108405,Adcy3,103,0.898494907601354,2.39907968488229,5.02859755496114,0.0571832409572801,C2
Adcy5,OK,negbinomial.size,1.87321352495428e-16,4.49536297975502e-15,Adcy5,14,0.0154474453047692,0.000787844079181351,4.16356443426096,0.0653125546940995,C2
Adcy7,OK,negbinomial.size,4.17924315543025e-26,2.07558319337063e-24,Adcy7,38,0.103863590241307,0.0533762077778362,13.9022223083504,0.208028831612882,C2
Add3,OK,negbinomial.size,1.85586100916501e-07,1.7450248655621e-06,Add3,322,13.0441733933645,37.3855780396115,33.4437024016003,18.2744638403846,C3
Adh1,OK,negbinomial.size,2.7904947738021e-30,1.76818395445401e-28,Adh1,80,82.6882555239251,23.5380749720553,2.71871220962208,7.20250666110004,C1
Adk,OK,negbinomial.size,1.48108805960874e-07,1.4070336566283e-06,Adk,415,106.66077764688,144.472835680974,38.7436092595943,48.7424726151656,C3
Adm,OK,negbinomial.size,4.35347862467372e-18,1.18641515994021e-16,Adm,121,9.50825893899433,58.0305420064997,13.4952913053191,0.0130368238332685,C3
Ado,OK,negbinomial.size,1.61853665871624e-11,2.48143468904255e-10,Ado,469,317.524330584405,127.734082522637,253.715518164426,133.701797555046,C1
Adora1,OK,negbinomial.size,3.62171718836133e-16,8.50112193319193e-15,Adora1,59,0.182205599652356,6.13927388617701,0.00273097518828422,0.241859473754397,C3
Adra1a,OK,negbinomial.size,1.82923451873959e-15,4.00734230868491e-14,Adra1a,26,0.103434887248165,0.0641547813887116,8.38944471314532,0.0133557578313992,C2
Adsl,OK,negbinomial.size,0.000860961062499546,0.0039439252660013,Adsl,311,33.1211341369061,22.6067926028367,11.6621858033955,17.7330656162515,C1
Adtrp,OK,negbinomial.size,3.56856945610438e-08,3.68421884882075e-07,Adtrp,32,3.52047689823972,2.56304541338918,0.00265046653641582,0,C1
Aen,OK,negbinomial.size,1.23347539909637e-06,1.03228328292626e-05,Aen,73,2.36292479730713,1.68386996029974,0.0279020760680923,0.00254374809176633,C1
Afap1,OK,negbinomial.size,3.56236347985942e-06,2.76206639188859e-05,Afap1,328,20.0072953844133,11.2390333300006,36.427562465547,18.7890274099506,C2
Afap1l1,OK,negbinomial.size,3.80572101633006e-07,3.42808049251075e-06,Afap1l1,23,1.29109443269042,2.86848640731749,0.00161367962433332,0,C3
Afap1l2,OK,negbinomial.size,2.84784174462701e-31,1.91789467859357e-29,Afap1l2,43,0.496760851242729,0.31482209094617,24.9844138467874,0.017321656999201,C2
Aff1,OK,negbinomial.size,2.63952546845912e-05,0.000173225592350968,Aff1,240,2.53736780682002,7.32053656764986,1.84966021470442,9.88151506659951,C4
Aff2,OK,negbinomial.size,5.84968943908281e-24,2.48331865527796e-22,Aff2,62,0.0400414432635502,4.67217139710421,0.908121428344241,11.1696429167743,C4
Aff3,OK,negbinomial.size,0.0058270373439875,0.0202412047949531,Aff3,266,9.22050762606174,14.7574723609931,10.404515739345,3.26484870881109,C3
Aftph,OK,negbinomial.size,0.0167193378550861,0.0487998281892381,Aftph,158,4.49214555021728,6.23247700174881,4.57558078272087,17.6671147919679,C4
Aga,OK,negbinomial.size,0.00180091558669679,0.00742949877860194,Aga,181,19.7777158912815,36.9505799233662,56.2640056866563,74.7493268221964,C4
Ago3,OK,negbinomial.size,6.97211291900712e-11,9.83358426284963e-10,Ago3,206,2.25025148778359,1.33971291028375,9.08592993161288,9.21533100854104,C4
Agpat4,OK,negbinomial.size,0.00743069751982992,0.0247811932065264,Agpat4,92,7.78053577077276,4.00976100362124,0.481297397929467,11.7082488403027,C4
Agpat9,OK,negbinomial.size,3.0508939063055e-20,9.61854125411953e-19,Agpat9,17,0,4.79782191101384,0.788746485891907,0.268033912476942,C3
Agps,OK,negbinomial.size,4.64904643442668e-05,0.000292280959364763,Agps,251,12.1337915561128,4.36634025285426,8.5352185909422,4.01630589578677,C1
Agrn,OK,negbinomial.size,0.00235047407446355,0.00935173152484523,Agrn,356,10.5341445081757,7.48741511621982,7.71113665538272,1.27792828116866,C1
Agt,OK,negbinomial.size,3.50418819177838e-10,4.63728114309108e-09,Agt,11,0,0.263389910995258,9.90395747249895,4.69756580575216,C2
Agtr1a,OK,negbinomial.size,0.00408552057763271,0.0149593086222857,Agtr1a,29,0.49629618220351,3.20564516861505,0.00249396615122814,0,C3
Agtr2,OK,negbinomial.size,5.36652218457791e-16,1.24602120686328e-14,Agtr2,54,24.3546839445894,2.75328787861664,33.7570135682781,28.2639479514484,C2
Ahcyl1,OK,negbinomial.size,0.0172107122762133,0.0499454121456066,Ahcyl1,259,13.4486233178312,8.68639978775263,19.5203843642939,8.99697319242639,C2
Ahcyl2,OK,negbinomial.size,4.89356371318275e-06,3.69617792382088e-05,Ahcyl2,96,1.80308409314803,2.92124103653172,0.147444559206337,0.226901278843933,C3
Ahnak,OK,negbinomial.size,1.81763150248787e-07,1.71032875029272e-06,Ahnak,380,3.30952561021707,7.75504349369337,12.1756952496587,6.32402831329842,C2
Aif1l,OK,negbinomial.size,7.02573231135067e-33,5.10576241361038e-31,Aif1l,149,21.5552875203985,1.07935889931521,0.419564123309747,20.1276310198679,C1
Aim2,OK,negbinomial.size,3.52112381031869e-06,2.73173797178102e-05,Aim2,40,1.59121753854251,0.0972010271260534,8.10974356502597,0,C2
Ajap1,OK,negbinomial.size,0.00222719280265462,0.00893865242450744,Ajap1,29,2.75537943030466,0.234707788694066,0.914682770254251,0,C1
AK010878,OK,negbinomial.size,0.0125790885516035,0.0384060802371886,AK010878,256,26.4671901237931,12.4122889226441,5.87481389725637,14.8016055937884,C1
Ak1,OK,negbinomial.size,3.66503851615513e-06,2.82803781843452e-05,Ak1,98,14.3937182920796,1.36081916902502,8.71116680965897,5.73696166124754,C1
Ak2,OK,negbinomial.size,0.000819223859855111,0.00376883995326048,Ak2,432,92.8725360840875,104.802842894418,45.1800552747521,140.668081756499,C4
Ak5,OK,negbinomial.size,7.36084378001238e-07,6.39314878746113e-06,Ak5,13,2.73312579289932,0.0022166516448024,0.168166664336215,0.00769690818567937,C1
Ak6,OK,negbinomial.size,0.0135404743348699,0.0408948394856614,Ak6,450,71.8348741799598,51.4482377416199,40.0109383092982,35.8609649832063,C1
Ak7,OK,negbinomial.size,4.13433601946725e-17,1.03462965405462e-15,Ak7,66,1.65001563234048,11.5821085565103,0.000882289433871437,1.12091097039523,C3
Akap12,OK,negbinomial.size,3.10038563994507e-19,9.10508230287979e-18,Akap12,259,17.592535442612,2.18026647931953,26.3641802311854,5.50345003807419,C2
Akap13,OK,negbinomial.size,0.00114480797176631,0.00505168608604803,Akap13,476,24.465648093066,18.3745065507843,37.8913703558776,27.0234256735282,C2
Akap2,OK,negbinomial.size,3.23779241677273e-17,8.24707403107873e-16,Akap2,159,6.84323662556996,1.06118104911834,19.1968058955439,6.01923486536728,C2
Akap8l,OK,negbinomial.size,0.0113206319224148,0.0352157892183851,Akap8l,293,26.7846520483353,34.4464045558487,24.1700411111341,82.2540197770498,C4
Akr1a1,OK,negbinomial.size,0.000532370605829341,0.00258215803272353,Akr1a1,549,293.567586039174,387.854687151562,237.051865133446,550.812466888799,C4
Akr1c13,OK,negbinomial.size,6.3102536380784e-09,7.22785329889603e-08,Akr1c13,32,2.36803713390613,5.72724256536516,0.00256009695763044,42.5266375349607,C4
Akr1c14,OK,negbinomial.size,2.71540116743207e-45,3.35848127083449e-43,Akr1c14,82,0.411461666594852,16.8420878364689,22.5064346903989,90.1459314699511,C4
Akr1cl,OK,negbinomial.size,1.41949129109565e-151,2.28236455967042e-148,Akr1cl,298,12.3673696859021,199.322834185375,355.011540498898,1295.09274431971,C4
Akt2,OK,negbinomial.size,0.00858951094787833,0.027958975752345,Akt2,288,7.88110760416846,14.0603327406649,6.02421908151543,7.42962277285721,C3
Akt3,OK,negbinomial.size,0.0119077588751028,0.0367048891470038,Akt3,143,4.67441059579435,5.07312438072074,10.2392468190229,0.263364234504561,C2
Alad,OK,negbinomial.size,2.51460344680359e-07,2.33371891314824e-06,Alad,385,72.5190121072701,103.321408795339,19.9025692621051,103.912366515093,C4
Alcam,OK,negbinomial.size,0.00682153889774723,0.0230242599952041,Alcam,305,24.0063476435896,13.0339732638951,19.8513032557931,13.7430301281504,C1
Aldh16a1,OK,negbinomial.size,0.00207914753567904,0.00841802793561207,Aldh16a1,154,2.89026886892826,4.65556255581336,0.395368582716997,0.233262363713838,C3
Aldh1a1,OK,negbinomial.size,7.7941890048611e-23,2.98130425170721e-21,Aldh1a1,162,9.49164798339301,62.2308163066162,23.9112081456219,150.4545254368,C4
Aldh1a2,OK,negbinomial.size,2.19439208489955e-37,1.85700430184625e-35,Aldh1a2,285,128.602736639772,73.2540575179636,3.31143128720614,28.787156320454,C1
Aldh1a3,OK,negbinomial.size,0.00023052197471082,0.00123037517041713,Aldh1a3,12,0.643777907649052,1.75363527928638,0.00162238722567109,0.0043101027535756,C3
Aldh1a7,OK,negbinomial.size,8.63260522897519e-08,8.45706024830981e-07,Aldh1a7,29,7.39592501365643,16.3210585633553,2.44932357969976,0.00447712972041714,C3
Aldh1b1,OK,negbinomial.size,2.16636030482002e-48,3.09621028898887e-46,Aldh1b1,122,1.5784854934585,54.4969505651582,0.650764257172532,5.64817464214694,C3
Aldh1l1,OK,negbinomial.size,9.9833977021895e-06,7.12237629746331e-05,Aldh1l1,12,0.016208773443429,1.25527208206268,0,2.64766752068451,C4
Aldh2,OK,negbinomial.size,0.00105712906782489,0.0047204829955005,Aldh2,195,3.02793054847547,8.76869487665747,2.57874960515473,12.5191251135195,C4
Aldh3a2,OK,negbinomial.size,0.0119564060215611,0.0368195476790376,Aldh3a2,154,6.37750914441441,10.8464026756153,14.8021835292358,5.39275178196304,C2
Aldh3b1,OK,negbinomial.size,4.03422279331036e-45,4.89549130097652e-43,Aldh3b1,89,0.497914475501193,47.3432210779206,1.01962636353223,19.5914275222106,C3
Aldh4a1,OK,negbinomial.size,0.00216663613037927,0.00872556059645225,Aldh4a1,108,3.44415269859072,6.96379931413268,0.573964887380291,0.989032928683396,C3
Aldh5a1,OK,negbinomial.size,0.00933415036709555,0.0299265144994891,Aldh5a1,85,2.33782885264154,4.01657883812245,0.152931516398575,3.87840117594907,C3
Aldh6a1,OK,negbinomial.size,0.000107105948951384,0.000616698219051771,Aldh6a1,177,16.9735635135561,35.6937013605282,16.1103166419611,8.72474305421081,C3
Aldoa,OK,negbinomial.size,2.52631482215381e-20,8.02370063144801e-19,Aldoa,533,389.831447421279,749.940105128865,136.266889290178,511.784567332343,C3
Aldoc,OK,negbinomial.size,2.58928620546175e-13,4.6757819237515e-12,Aldoc,83,3.71978933236567,25.3277040046079,2.57846839230734,3.61448350323555,C3
Alg11,OK,negbinomial.size,2.9023242267316e-08,3.04507312630087e-07,Alg11,458,74.0723470869512,44.0751546075669,128.60474777268,42.3868334438397,C2
Alg2,OK,negbinomial.size,0.000444400102665001,0.00220282023914447,Alg2,224,23.0607355996994,24.1825237249381,5.87111051726324,13.2426680127633,C3
Alg6,OK,negbinomial.size,0.00382704203725293,0.014182437834971,Alg6,141,2.31415416930094,1.66319425019512,7.36043716697498,4.48407354475486,C2
Alkbh1,OK,negbinomial.size,0.00301080064613612,0.0115743959089208,Alkbh1,431,20.8166617502917,12.2689398541471,15.8034207827449,6.09944304806103,C1
Alpk3,OK,negbinomial.size,3.99223059332523e-22,1.47140579145967e-20,Alpk3,73,2.50308687444192,2.77135105047529,0.00126744648166787,18.8793740506545,C4
Alpl,OK,negbinomial.size,0.0003181136898311,0.00163872502695132,Alpl,41,4.90569717302242,1.64508181433573,8.25326319222218,0.00168020978402291,C2
Alx1,OK,negbinomial.size,7.15142200750173e-41,7.1866204126949e-39,Alx1,66,18.458928654841,0.048435681886865,0.486096651676816,0,C1
Alyref,OK,negbinomial.size,0.00212539550750104,0.00858366166812742,Alyref,458,24.4459165473192,14.5650950712816,24.8050665479467,51.8852747110993,C4
Amer1,OK,negbinomial.size,0.0155923405952878,0.04606437231906,Amer1,311,15.5965807250654,12.7291108488634,16.2131541715326,4.54066450914949,C2
