,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
Serpine2,OK,negbinomial.size,9.93671623578904e-119,6.72715689162918e-116,Serpine2,213,7.93841146936942,2.77745403584918,34.4824247490327,292.855685982726,C4
Serpinf1,OK,negbinomial.size,2.28930347220773e-09,2.77281643719473e-08,Serpinf1,322,35.144469459292,42.1568594332269,128.009293318959,100.881989291172,C2
Serping1,OK,negbinomial.size,1.25906983113624e-19,3.76637563672219e-18,Serping1,252,42.9595191125524,42.144402519351,178.284830184195,4.16120478564481,C2
Serpini1,OK,negbinomial.size,4.69886212697037e-25,2.16636070033046e-23,Serpini1,165,4.25013330080911,22.8873170474135,1.24453949768781,3.23645661672362,C3
Sertad4,OK,negbinomial.size,0.000115711804138394,0.000661217652879683,Sertad4,52,8.11352068323622,2.30091046040107,14.6099692485095,3.42543914599148,C2
Sesn1,OK,negbinomial.size,0.0153507199857169,0.0454968458931512,Sesn1,203,12.2809901747455,21.9415761998748,24.3468889604537,9.04215260199842,C2
Sestd1,OK,negbinomial.size,0.00493097589608057,0.0175990962683919,Sestd1,175,6.01293187204379,2.92762699627875,8.95728646010269,3.657854008363,C2
Set,OK,negbinomial.size,0.000283884928672832,0.00148923810665523,Set,560,903.653415509207,529.260781599585,672.725454222577,743.147015674691,C1
Setd8,OK,negbinomial.size,0.000523368552539324,0.00254713949728087,Setd8,288,12.0438377773243,15.8844710916602,2.68679842154692,19.5672905665855,C4
Setx,OK,negbinomial.size,0.00931530709983388,0.029880996315502,Setx,244,6.41455445452284,7.10042005685306,2.30683694104214,7.20135425795871,C4
Sf3a1,OK,negbinomial.size,0.0137715389921473,0.0414737583089472,Sf3a1,360,23.4225035282029,15.4562508335005,11.5488354759388,23.7405088374288,C4
Sf3a3,OK,negbinomial.size,0.00214360129504202,0.00865175508569988,Sf3a3,400,63.502105482279,46.1897338863019,29.5890030389555,25.7091928056673,C1
Sf3b2,OK,negbinomial.size,5.26924435877562e-05,0.000326957502107722,Sf3b2,516,132.286947565941,82.4256117665286,60.8164079624674,69.172248803836,C1
Sfrp1,OK,negbinomial.size,5.87985133010423e-113,3.60154893614908e-110,Sfrp1,342,114.510133395463,8.39884969247516,213.734525518841,0.0522194625470833,C2
Sfrp2,OK,negbinomial.size,4.05893797596158e-32,2.85301197731114e-30,Sfrp2,200,68.6454422287105,8.81542369207163,4.58656946304711,0.216676948529414,C1
Sft2d2,OK,negbinomial.size,0.00189295009168876,0.00774952801699315,Sft2d2,151,4.48366848802232,8.68024662747453,1.22225046866322,6.95981457657355,C3
Sfxn2,OK,negbinomial.size,0.000807851548963791,0.00372584957845867,Sfxn2,184,12.2225025626979,5.4423458098703,19.8570061858111,2.11162516012662,C2
Sfxn3,OK,negbinomial.size,3.00341922027197e-11,4.42024959157418e-10,Sfxn3,198,18.6039759471304,60.5110295886115,10.7775556682001,39.9072972545883,C3
Sgcd,OK,negbinomial.size,0.00322356359554865,0.0122712928468607,Sgcd,33,0.279845135781788,0.0556557069752796,2.33760533795446,0,C2
Sgms1,OK,negbinomial.size,0.000106728453014683,0.000614799861678403,Sgms1,243,6.73363155847064,7.0924562898164,6.38846866377556,30.5525274142981,C4
Sgms2,OK,negbinomial.size,3.43645194586324e-09,4.07777503502204e-08,Sgms2,36,1.3289994448208,4.4797491577359,1.94344950891446,26.1760779183134,C4
Sgol1,OK,negbinomial.size,4.20783317779533e-12,6.80822115295362e-11,Sgol1,117,15.1652546461863,1.31132016129213,9.17883239014329,9.92216519352901,C1
Sgol2,OK,negbinomial.size,0.00195401752436137,0.00796404544228781,Sgol2,94,3.02357664260202,0.628636355869885,4.87445758419115,3.27922857354582,C2
Sgpl1,OK,negbinomial.size,0.00167788613701703,0.00701418569400392,Sgpl1,234,16.3312470031001,27.5454086168776,14.9838291149874,9.45615659456312,C3
Sgpp1,OK,negbinomial.size,0.00390920705161668,0.0144163218252011,Sgpp1,62,0.44629396515585,2.56218031850683,6.11730316775048,4.40134636404664,C2
Sgsm3,OK,negbinomial.size,0.0064833829361539,0.0220974442786825,Sgsm3,90,3.74879143626609,10.2173592707597,7.00240992377202,11.1419837210109,C4
Sh2d4a,OK,negbinomial.size,1.10933293783902e-42,1.20926691351046e-40,Sh2d4a,159,7.74796492730632,48.0292238067431,0.0891092778172585,40.4608118052386,C3
Sh3bgrl,OK,negbinomial.size,0.011530613175657,0.0357307341070769,Sh3bgrl,493,132.070837878644,92.3578882489035,149.755180218846,84.3098443406311,C2
Sh3bgrl2,OK,negbinomial.size,1.05212933967787e-07,1.01985981132453e-06,Sh3bgrl2,108,5.87588652201824,1.65953615403,1.3945884465648,0.0232981235481777,C1
Sh3bp5,OK,negbinomial.size,0.00396472710286247,0.0145876100469451,Sh3bp5,180,4.50017171670095,8.47585565121433,20.0205574695046,4.82566217296194,C2
Sh3d19,OK,negbinomial.size,0.00332868736406619,0.0126179700301396,Sh3d19,171,4.05509397988101,1.62582080614488,6.57243906135063,1.36198433760014,C2
Sh3d21,OK,negbinomial.size,0.0123625368271123,0.0378257162719186,Sh3d21,89,2.96278998334797,11.019266807344,3.03444714775395,4.90708073448176,C3
Sh3kbp1,OK,negbinomial.size,0.00011689432149881,0.000667382005077314,Sh3kbp1,150,4.03638953948693,1.00337264349059,4.21772476024243,7.64205152251382,C4
Sh3pxd2b,OK,negbinomial.size,1.1205802202954e-07,1.08213388691139e-06,Sh3pxd2b,155,5.84307397638915,1.77403133556194,4.06572440323655,0.0179870042179393,C1
Sh3rf1,OK,negbinomial.size,0.00367484458589673,0.0137013118575043,Sh3rf1,333,12.2929630165381,5.85677449544939,17.7227283644065,15.5138575545115,C2
Sh3tc2,OK,negbinomial.size,1.0456420149676e-34,8.15157165971408e-33,Sh3tc2,99,5.68786168376154,16.3218575785813,0,6.71607067202035,C3
Shank2,OK,negbinomial.size,2.06332377903014e-10,2.78202660059378e-09,Shank2,41,0.358992246156939,1.43873495726221,0,0.000927590753700456,C3
Shbg,OK,negbinomial.size,4.54225688851866e-36,3.67465725515821e-34,Shbg,66,0.236900302729154,17.9346304647133,0.0036182144805262,72.643769490468,C4
Shcbp1,OK,negbinomial.size,6.06155902618807e-16,1.40233513945786e-14,Shcbp1,133,42.941427370648,4.20440196061786,27.6009252537737,7.17123381101122,C1
She,OK,negbinomial.size,3.82869755811065e-13,6.76490888598589e-12,She,13,0.152141388971732,0.0089662601601072,8.70350180813134,0,C2
Shisa2,OK,negbinomial.size,6.43675151936436e-09,7.35963864831856e-08,Shisa2,169,7.65864383895001,21.0017463384666,3.39811149035016,0.442827348085715,C3
Shisa3,OK,negbinomial.size,2.85558117395936e-49,4.32133419301639e-47,Shisa3,110,14.5385683491315,0.302574015237901,0.00370304657233188,0.0845689497555931,C1
Shisa4,OK,negbinomial.size,0.00129656267532843,0.00562485183566596,Shisa4,146,13.6070256390173,4.26224073302185,12.7287195185769,0.0283898927259028,C1
Shisa5,OK,negbinomial.size,3.17017740115065e-05,0.000205534233422383,Shisa5,224,18.2540186339762,33.2636366093106,64.0058019029187,63.8277013924417,C2
Shisa6,OK,negbinomial.size,1.4908148692792e-11,2.29108144128296e-10,Shisa6,52,0.0307169113740003,2.79321248487101,0.050358048109225,2.39810364923304,C3
